Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mauritania,MRT,..,..,..,92,..,..,..,..,92,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mauritius,MUS,..,..,..,2041,..,..,..,..,2041,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mexico,MEX,..,..,..,758,..,..,..,..,758,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Moldova,MDA,..,..,..,450,..,..,..,..,450,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mongolia,MNG,..,..,..,241,..,..,..,..,241,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Morocco,MAR,..,..,..,346,..,..,..,..,346,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mozambique,MOZ,..,..,..,1032,..,..,..,..,1032,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Myanmar,MMR,..,..,..,2091,..,..,..,..,2091,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Namibia,NAM,..,..,..,285,..,..,..,..,285,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nepal,NPL,..,..,..,1500,..,..,..,..,1500,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Netherlands,NLD,..,..,..,778,..,..,..,..,778,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,New Zealand,NZL,..,..,..,1732,..,..,..,..,1732,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nicaragua,NIC,..,..,..,2280,..,..,..,..,2280,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Niger,NER,..,..,..,151,..,..,..,..,151,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nigeria,NGA,..,..,..,1150,..,..,..,..,1150,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,North Macedonia,MKD,..,..,..,619,..,..,..,..,619,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Norway,NOR,..,..,..,1414,..,..,..,..,1414,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Oman,OMN,..,..,..,125,..,..,..,..,125,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Pakistan,PAK,..,..,..,494,..,..,..,..,494,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Panama,PAN,..,..,..,2928,..,..,..,..,2928,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Papua New Guinea,PNG,..,..,..,3142,..,..,..,..,3142,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Paraguay,PRY,..,..,..,1130,..,..,..,..,1130,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Peru,PER,..,..,..,1738,..,..,..,..,1738,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Philippines,PHL,..,..,..,2348,..,..,..,..,2348,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Poland,POL,..,..,..,600,..,..,..,..,600,..,..,..
