Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cereal production (metric tons),AG.PRD.CREL.MT,Mauritania,MRT,103443,179687,199092,343848,311756,373295,315069,331730,353856,340110,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Mauritius,MUS,2284,623,636,1244,1278,1811,1108,767,602,406,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Mexico,MEX,25562272,27995057,28408737,33614212,33210301,36526602,34704514,38465311,37487836,36068979,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Micronesia, Fed. Sts.",FSM,..,161,234,254,269,285,275,289,300,288,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Moldova,MDA,..,1905097,2466400,2055650,2654337,2886891,2183323,2954175,3285836,3421119,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Mongolia,MNG,718338,143309,445513,479349,387043,519794,216268,483453,238102,453849,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Montenegro,MNE,..,..,6294,4895,7588,7614,6658,7020,7215,7301,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Morocco,MAR,6275864,1996649,8689334,5311219,9874543,6937346,11688696,3561597,9786848,10388665,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Mozambique,MOZ,738050,1587548,2931941,2758683,1459320,1718167,1503910,1717821,1608964,1917175,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Myanmar,MMR,14423776,21785100,30636485,28341452,28622447,28793985,28634848,28108941,28119013,28014055,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Namibia,NAM,97948,120979,118339,165800,86600,111718,113040,74368,137559,152898,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Nepal,NPL,5847090,7115587,8615383,9457722,8580285,9562680,9266240,8614283,9758893,9930178,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Netherlands,NLD,1388200,1732100,1609679,1730981,1755536,1700506,1671654,1355219,1392686,1340532,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,New Caledonia,NCL,1244,4795,2597,4198,4386,4815,7088,8817,9715,10309,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,New Zealand,NZL,869904,855511,999389,1168496,1103221,1097943,1114618,1096490,936995,977781,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Nicaragua,NIC,487787,783484,1009194,982568,965045,838643,747920,933034,909045,820382,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Niger,NER,2135448,2126435,3619099,5334840,4361285,4915209,5464329,5852134,5899356,6099863,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Nigeria,NGA,17678000,21370000,20699526,21427122,19617693,24517387,25452062,28363675,25616052,26216277,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,North Macedonia,MKD,..,564005,554881,459788,561903,629237,483885,640985,447786,598382,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Norway,NOR,1567856,1305420,1028075,1085988,966521,1239061,1358853,1326951,1308223,678543,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Oman,OMN,5140,33163,58015,52464,50873,40693,78955,63171,63391,64754,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Pakistan,PAK,20957200,30460700,39304580,36496350,40109711,41895811,41081682,42555022,44299995,42741865,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Panama,PAN,344628,339302,400174,370023,423781,401220,388183,450357,433472,429251,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Papua New Guinea,PNG,4120,11300,18205,15271,17365,17872,18639,19021,19581,20142,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Paraguay,PRY,779265,1013677,5367547,5160750,6272395,4931500,7090736,7262200,7207780,7069529,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Peru,PER,1778458,3554034,4616641,5223285,5249332,5009147,5469508,5179354,5140701,5644208,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Philippines,PHL,14987250,16901159,23655648,25440478,25817441,26739122,25669246,24846678,27191836,26838577,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Poland,POL,28013511,22340612,26767403,28543870,28455154,31945433,28002726,29849223,31924964,26779782,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Portugal,PRT,1427010,1614404,1157421,1178144,1362407,1333258,1240203,1138085,1125906,1092570,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Puerto Rico,PRI,540,460,620,651,666,59,306,328,231,288,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Qatar,QAT,3135,7215,1700,1908,2259,2455,1801,1377,1374,2308,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Romania,ROU,17173554,10477506,20842160,12824138,20897076,22070736,19332821,21764816,27138884,31553279,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Russian Federation,RUS,..,64242691,91780915,68753479,90364971,103138503,102447609,117755457,131295318,109837875,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Rwanda,RWA,264908,239705,771584,808012,930862,809140,613821,663575,634813,706175,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Sao Tome and Principe,STP,2700,2230,1085,917,776,859,849,768,576,941,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Saudi Arabia,SAU,4136772,2167394,1414016,1084597,881553,1502341,1549853,1441921,1429022,1378867,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Senegal,SEN,977080,1025921,1099275,1499757,1270937,1251248,2152246,1707611,1691500,1746643,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Serbia,SRB,..,..,9082266,6379255,9123503,10867927,8458226,10888988,6814547,10550204,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Sierra Leone,SLE,563100,222472,1257899,1258511,1374084,1304469,975465,970491,1004473,1028954,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Slovak Republic,SVK,..,2202543,3714041,3035810,3411961,4707655,3805712,4847544,3484061,4037761,..,..
